"datetime","wind_speed","v_var","u*","wind_dir","L"
2020-05-07 23:30:00,1.21894,0.0779,0.114977,261.427,6.6098
2020-05-08,0.821117,0.11922,0.124752,247.05,6.38005
2020-05-08 00:30:00,109.673,7373.52,67.3001,240.672,286609
2020-05-08 01:00:00,0.379143,0.664536,0.170147,165.052,34.3952
2020-05-08 01:30:00,0.584808,0.0443,0.0244,122.675,0.195837
2020-05-08 02:00:00,0.514932,0.0608,0.0413,152.998,8.41104
2020-05-08 02:30:00,0.442651,0.0214,0.0423,163.8,12.6629
2020-05-08 03:00:00,0.471259,0.0431,0.0658,186.836,21.9699
2020-05-08 03:30:00,0.619053,0.0291,0.05,163.584,11.5763
2020-05-08 04:00:00,0.465521,0.0199,0.0443,172.06,88.6556
2020-05-08 04:30:00,0.169382,0.0271,0.109852,164.318,-42.4123
2020-05-08 05:00:00,0.342472,0.0677,0.0799,150.153,5.57856
2020-05-08 05:30:00,1.14625,0.145264,0.106695,108.058,20.6396
2020-05-08 06:00:00,1.6804,0.288339,0.131169,125.384,43.2356
2020-05-08 06:30:00,2.20638,0.377259,0.155909,145.289,68.4814
2020-05-08 07:00:00,2.94856,0.350085,0.224744,153.195,171.229
2020-05-08 07:30:00,2.5671,0.833867,0.211514,159.47,-578.925
2020-05-08 08:00:00,3.05348,0.855107,0.202775,177.012,-2288.12
2020-05-08 08:30:00,2.56932,1.13133,0.229681,169.258,-523.443
2020-05-08 09:00:00,1.98771,0.778598,0.212895,166.52,333.721
2020-05-08 09:30:00,2.28547,0.74604,0.217328,172.025,-565.043
2020-05-08 10:00:00,1.89511,0.557397,0.190864,174.147,68.5745
2020-05-08 10:30:00,2.00302,0.857511,0.205199,186.367,67.4171
2020-05-08 11:00:00,2.14345,0.937421,0.20392,170.518,529.238
2020-05-08 11:30:00,2.55721,1.20231,0.270134,181.736,2971.17
2020-05-08 12:00:00,2.29209,1.07711,0.215026,174.256,-285.374
2020-05-08 12:30:00,2.68346,0.998071,0.250553,164.766,253.259
2020-05-08 13:00:00,2.84399,1.41898,0.27774,159.998,121.329
2020-05-08 13:30:00,2.39138,1.28884,0.23488,148.502,90.3182
2020-05-08 14:00:00,2.62026,1.56901,0.248156,186.517,124.006
2020-05-08 14:30:00,3.08223,1.06308,0.265546,147.532,209.195
2020-05-08 15:00:00,2.58913,2.43722,0.315949,161.04,219.655
2020-05-08 15:30:00,2.78563,0.400995,0.211437,149.694,37.9962
2020-05-08 16:00:00,3.05077,0.44901,0.2229,148.566,39.262
2020-05-08 16:30:00,2.87007,0.496661,0.235323,153.168,49.3588
2020-05-08 17:00:00,3.10588,1.02911,0.229607,142.798,98.7143
2020-05-08 17:30:00,2.80454,0.428952,0.186279,153.675,29.4936
2020-05-08 18:00:00,2.48776,0.278843,0.194416,151.921,23.6401
2020-05-08 18:30:00,1.68322,0.238876,0.178072,141.314,25.914
2020-05-08 19:00:00,1.97222,0.370569,0.145131,163.71,12.4978
2020-05-08 19:30:00,1.87373,0.205673,0.127229,167.433,16.7756
2020-05-08 20:00:00,1.72855,0.42217,0.0384,159.678,0.338699
2020-05-08 20:30:00,2.27545,0.307192,0.170047,187.647,27.1916
2020-05-08 21:00:00,1.63012,0.0868,0.0781,173.516,8.1036
2020-05-08 21:30:00,1.73164,2.57022,0.219992,236.635,42.6669
2020-05-08 22:00:00,2.46355,0.661857,0.285802,293.285,228.653
2020-05-08 22:30:00,2.68551,0.751436,0.327775,295.911,6581.82
2020-05-08 23:00:00,3.06811,1.15915,0.338284,297.19,2847.51
2020-05-08 23:30:00,3.0023,1.02097,0.319253,300.733,1344.86
2020-05-09,2.63841,0.915466,0.344615,299.962,1443.7
2020-05-09 01:30:00,3.37522,1.2786,0.380154,304.841,-2471.53
2020-05-09 02:00:00,3.15631,1.09663,0.410577,310.608,-4963.61
2020-05-09 02:30:00,3.22898,1.43525,0.366939,308.388,-1580.97
2020-05-09 03:00:00,3.77736,1.47705,0.455426,308.872,-1118.79
2020-05-09 03:30:00,3.7568,1.48097,0.446521,310.861,-7059.38
2020-05-09 04:00:00,3.4237,1.22379,0.397385,310.466,-3099.71
2020-05-09 04:30:00,3.26787,1.19638,0.408341,312.432,4004.83
2020-05-09 05:00:00,3.23546,1.37645,0.379399,312.166,-1038.45
2020-05-09 05:30:00,2.98229,0.925069,0.408576,314.12,-804.545
2020-05-09 06:00:00,3.35023,1.12299,0.407413,316.595,-526.575
2020-05-09 06:30:00,3.25586,0.906957,0.356025,320.44,-335.317
2020-05-09 07:00:00,3.51585,1.4462,0.391823,319.101,-258.378
2020-05-09 07:30:00,3.5408,1.37546,0.354921,324.922,-289.032
